Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
EMERALD EAST,"1,400,000",925.7,"1,512",Aug-19,TANJONG RHU ROAD,Resale,Strata,86,"16,279",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
HAIG ELEVEN,"1,200,000",871.88,"1,376",Aug-19,HAIG AVENUE,Resale,Strata,81,"14,815",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EMERY POINT,"1,800,000","1,323.97","1,360",Aug-19,IPOH LANE,Resale,Strata,123,"14,634",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
THE AMARELLE,"750,000",613.55,"1,222",Aug-19,LIM AH WOO ROAD,Resale,Strata,57,"13,158",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EAST TREASURE,"1,330,000","1,097.93","1,211",Aug-19,LORONG N TELOK KURAU,Resale,Strata,102,"13,039",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
D'SUNRISE,"825,000",667.37,"1,236",Aug-19,JOO CHIAT LANE,Resale,Strata,62,"13,306",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
FERNWOOD TOWERS,"1,850,000","1,636.13","1,131",Aug-19,FERNWOOD TERRACE,Resale,Strata,152,"12,171",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
COTE D'AZUR,"1,880,000","1,388.56","1,354",Aug-19,MARINE PARADE ROAD,Resale,Strata,129,"14,574",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
GALLERY 8,"1,418,000","1,216.33","1,166",Aug-19,PULASAN ROAD,Resale,Strata,113,"12,549",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAGOON VIEW,"1,500,000","1,646.89",911,Aug-19,MARINE PARADE ROAD,Resale,Strata,153,"9,804",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,06 to 10
SEVENTY SAINT PATRICK'S,"1,420,000",839.59,"1,691",Aug-19,ST. PATRICK'S ROAD,Resale,Strata,78,"18,205",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE SEAFRONT ON MEYER,"1,950,000","1,065.64","1,830",Aug-19,MEYER ROAD,Resale,Strata,99,"19,697",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
COTE D'AZUR,"2,250,000","2,012.87","1,118",Aug-19,MARINE PARADE ROAD,Resale,Strata,187,"12,032",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
MARINE BLUE,"1,680,000","1,270.15","1,323",Aug-19,MARINE PARADE ROAD,Resale,Strata,118,"14,237",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
PRESTIGE LOFT,"500,000",387.5,"1,290",Aug-19,TELOK KURAU ROAD,Resale,Strata,36,"13,889",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
JC RESIDENCE,"568,000",462.85,"1,227",Aug-19,JOO CHIAT LANE,Resale,Strata,43,"13,209",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANCTUARY GREEN,"1,500,000","1,485.43","1,010",Aug-19,TANJONG RHU ROAD,Resale,Strata,138,"10,870",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
PARC BLEU,"630,000",462.85,"1,361",Aug-19,JOO CHIAT PLACE,Resale,Strata,43,"14,651",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SUNNY PARC,"1,160,000",979.52,"1,184",Aug-19,LORONG K TELOK KURAU,Resale,Strata,91,"12,747",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MEYER PARK,"4,075,000","2,658.71","1,533",Aug-19,MEYER ROAD,Resale,Strata,247,"16,498",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SILVERSEA,"1,810,000","1,065.64","1,699",Aug-19,MARINE PARADE ROAD,Resale,Strata,99,"18,283",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
MARINE BLUE,"1,556,000","1,270.15","1,225",Aug-19,MARINE PARADE ROAD,Resale,Strata,118,"13,186",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
TIERRA VUE,"1,900,000","1,227.1","1,548",Aug-19,ST. PATRICK'S ROAD,Resale,Strata,114,"16,667",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
PALM GALLERIA,"1,250,000","1,001.05","1,249",Aug-19,LORONG K TELOK KURAU,Resale,Strata,93,"13,441",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SILVERSEA,"2,320,000","1,571.54","1,476",Aug-19,MARINE PARADE ROAD,Resale,Strata,146,"15,890",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,01 to 05
THE MAKENA,"1,880,000","1,291.68","1,455",Aug-19,MEYER ROAD,Resale,Strata,120,"15,667",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SERAYA 9,"926,000",796.54,"1,163",Aug-19,SERAYA LANE,Resale,Strata,74,"12,514",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
FINLAND GARDENS,"1,950,000","1,323.97","1,473",Aug-19,EAST COAST AVENUE,Resale,Strata,123,"15,854",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
HAIG COURT,"1,980,000","1,442.38","1,373",Aug-19,HAIG ROAD,Resale,Strata,134,"14,776",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
VERSILIA ON HAIG,"2,850,000","2,217.38","1,285",Aug-19,IPOH LANE,Resale,Strata,206,"13,835",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
THE SEAFRONT ON MEYER,"3,250,000","1,603.84","2,026",Aug-19,MEYER ROAD,Resale,Strata,149,"21,812",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
MARINE BLUE,"1,600,000","1,550.02","1,032",Aug-19,MARINE PARADE ROAD,Resale,Strata,144,"11,111",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
FORT GARDENS,"1,900,000","1,442.38","1,317",Aug-19,FORT ROAD,Resale,Strata,134,"14,179",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SERAYA 9,"978,000",796.54,"1,228",Aug-19,SERAYA LANE,Resale,Strata,74,"13,216",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MARINE BLUE,"1,600,000","1,270.15","1,260",Aug-19,MARINE PARADE ROAD,Resale,Strata,118,"13,559",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
RESIDENTIAL APARTMENTS,"2,150,000","1,510.19","1,424",Aug-19,ONAN ROAD,Resale,Strata,140.3,"15,324",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,500,000","1,700.71",882,Aug-19,JALAN SEMPADAN,Resale,Strata,158,"9,494",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
EMERY POINT,"1,500,000","1,302.44","1,152",Aug-19,IPOH LANE,Resale,Strata,121,"12,397",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE MEYERISE,"2,550,000","1,270.15","2,008",Aug-19,MEYER ROAD,Resale,Strata,118,"21,610",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SUNSHINE RESIDENCE,"938,000",775.01,"1,210",Aug-19,LORONG K TELOK KURAU,Resale,Strata,72,"13,028",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MANDARIN GARDENS,"860,000",731.95,"1,175",Aug-19,SIGLAP ROAD,Resale,Strata,68,"12,647",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
SANCTUARY GREEN,"2,300,000","1,711.48","1,344",Aug-19,TANJONG RHU ROAD,Resale,Strata,159,"14,465",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,11 to 15
IDYLLIC RESIDENCES,"1,370,000","1,108.69","1,236",Aug-19,LORONG M TELOK KURAU,Resale,Strata,103,"13,301",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TEMBELING GROVE,"788,000",678.13,"1,162",Aug-19,TEMBELING ROAD,Resale,Strata,63,"12,508",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,520,000","1,625.36",935,Aug-19,JALAN SEMPADAN,Resale,Strata,151,"10,066",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
CHAPEL COURT,"1,455,000","1,119.46","1,300",Aug-19,SEA AVENUE,Resale,Strata,104,"13,990",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MARINE BLUE,"1,600,000","1,270.15","1,260",Aug-19,MARINE PARADE ROAD,Resale,Strata,118,"13,559",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
HAIG COURT,"1,580,000","1,076.4","1,468",Aug-19,HAIG ROAD,Resale,Strata,100,"15,800",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
LAGOON VIEW,"1,450,000","1,646.89",880,Aug-19,MARINE PARADE ROAD,Resale,Strata,153,"9,477",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
CORALIS,"2,010,000","1,227.1","1,638",Aug-19,JOO CHIAT ROAD,Resale,Strata,114,"17,632",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
EIS RESIDENCES,"878,000","1,065.64",824,Jul-19,HAIG AVENUE,Resale,Strata,99,"8,869",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KATONG REGENCY,"2,188,800","1,388.56","1,576",Jul-19,TANJONG KATONG ROAD,Resale,Strata,129,"16,967",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
PALM VISTA,"1,900,000","1,926.76",986,Jul-19,LORONG G TELOK KURAU,Resale,Strata,179,"10,615",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SHORE RESIDENCES,"1,388,888",871.88,"1,593",Jul-19,AMBER ROAD,Resale,Strata,81,"17,147",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,11 to 15
NEPTUNE COURT,"1,110,000","1,270.15",874,Jul-19,MARINE VISTA,Resale,Strata,118,"9,407",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,11 to 15
COTE D'AZUR,"1,070,000",904.18,"1,183",Jul-19,MARINE PARADE ROAD,Resale,Strata,84,"12,738",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,11 to 15
IMPERIAL HEIGHTS,"1,488,888","1,033.34","1,441",Jul-19,IPOH LANE,Resale,Strata,96,"15,509",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
BUTTERWORTH 8,"1,420,000","1,140.98","1,245",Jul-19,BUTTERWORTH LANE,Resale,Strata,106,"13,396",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
COSTA RHU,"2,150,000","1,776.06","1,211",Jul-19,RHU CROSS,Resale,Strata,165,"13,030",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
LE CONNEY PARK,"1,090,000","1,044.11","1,044",Jul-19,LORONG L TELOK KURAU,Resale,Strata,97,"11,237",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
FLAMINGO VALLEY,"970,000",678.13,"1,430",Jul-19,SIGLAP ROAD,Resale,Strata,63,"15,397",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
PARC ELEGANCE,"585,000",419.8,"1,394",Jul-19,TELOK KURAU ROAD,Resale,Strata,39,"15,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HAIG 162,"595,000",365.98,"1,626",Jul-19,HAIG ROAD,Resale,Strata,34,"17,500",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SUNSHINE RESIDENCE,"1,075,000",958,"1,122",Jul-19,LORONG K TELOK KURAU,Resale,Strata,89,"12,079",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MEDLEY,"1,810,000","1,754.53","1,032",Jul-19,LORONG G TELOK KURAU,Resale,Strata,163,"11,104",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HAWAII TOWER,"3,460,000","2,238.91","1,545",Jul-19,MEYER ROAD,Resale,Strata,208,"16,635",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
SILVERSEA,"3,750,000","2,508.01","1,495",Jul-19,MARINE PARADE ROAD,Resale,Strata,233,"16,094",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
THE ESTA,"2,420,000","1,313.21","1,843",Jul-19,AMBER GARDENS,Resale,Strata,122,"19,836",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
CRESCENDO PARK,"1,645,000","1,410.08","1,167",Jul-19,JALAN TUA KONG,Resale,Strata,131,"12,557",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
HAIG 162,"585,000",365.98,"1,598",Jul-19,HAIG ROAD,Resale,Strata,34,"17,206",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE GLACIER,"1,400,000","1,259.39","1,112",Jul-19,JOO CHIAT PLACE,Resale,Strata,117,"11,966",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
16 @ AMBER,"730,000",419.8,"1,739",Jul-19,AMBER ROAD,Resale,Strata,39,"18,718",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
VILLA MARINA,"1,820,000","1,915.99",950,Jul-19,JALAN SEMPADAN,Resale,Strata,178,"10,225",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
FERNWOOD TOWERS,"1,480,000","1,194.8","1,239",Jul-19,FERNWOOD TERRACE,Resale,Strata,111,"13,333",-,Condominium,1,Freehold,15,Outside Central Region,06 to 10
CANARY VILLE,"1,720,000","1,550.02","1,110",Jul-19,LORONG J TELOK KURAU,Resale,Strata,144,"11,944",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
DE CENTURION,"1,100,000",775.01,"1,419",Jul-19,TANJONG RHU ROAD,Resale,Strata,72,"15,278",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
RESIDENTIAL APARTMENTS,"1,300,000","1,011.82","1,285",Jul-19,STANGEE PLACE,Resale,Strata,94,"13,830",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
IVORY,"1,280,000","1,151.75","1,111",Jul-19,CEYLON LANE,Resale,Strata,107,"11,963",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MELROSE VILLE,"1,150,000",871.88,"1,319",Jul-19,ROSE LANE,Resale,Strata,81,"14,198",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,280,000","1,248.62","1,025",Jul-19,JALAN SEMPADAN,Resale,Strata,116,"11,034",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
RIVEREDGE,"1,850,000","1,334.74","1,386",Jul-19,SAMPAN PLACE,Resale,Strata,124,"14,919",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,11 to 15
THE ATRIA AT MEYER,"2,150,000","1,345.5","1,598",Jul-19,MEYER ROAD,Resale,Strata,125,"17,200",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
VERSILIA ON HAIG,"1,700,000","1,130.22","1,504",Jul-19,IPOH LANE,Resale,Strata,105,"16,190",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
GRAND RESIDENCE,"1,110,000","1,022.58","1,085",Jul-19,LORONG G TELOK KURAU,Resale,Strata,95,"11,684",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HAIG 162,"590,000",355.21,"1,661",Jul-19,HAIG ROAD,Resale,Strata,33,"17,879",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
OLA RESIDENCES,"1,060,000",742.72,"1,427",Jul-19,MOUNTBATTEN ROAD,Resale,Strata,69,"15,362",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE MAKENA,"2,370,000","1,506.96","1,573",Jul-19,MEYER ROAD,Resale,Strata,140,"16,929",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
WATER PLACE,"1,700,000","1,280.92","1,327",Jul-19,TANJONG RHU ROAD,Resale,Strata,119,"14,286",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,16 to 20
CAMELOT BY-THE-WATER,"4,000,000","2,637.18","1,517",Jul-19,TANJONG RHU ROAD,Resale,Strata,245,"16,327",-,Condominium,1,99 yrs lease commencing from 1996,15,Rest of Central Region,06 to 10
ONE AMBER,"2,650,000","1,657.66","1,599",Jul-19,AMBER GARDENS,Resale,Strata,154,"17,208",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
SPRING @ KATONG,"1,780,000","1,636.13","1,088",Jul-19,CEYLON ROAD,Resale,Strata,152,"11,711",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,450,000","1,151.75","2,127",Jul-19,TANJONG RHU ROAD,Resale,Strata,107,"22,897",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
COTE D'AZUR,"1,718,000","1,270.15","1,353",Jul-19,MARINE PARADE ROAD,Resale,Strata,118,"14,559",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,06 to 10
MANDARIN GARDENS,"1,880,000","1,786.82","1,052",Jul-19,SIGLAP ROAD,Resale,Strata,166,"11,325",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
SUITES @ EASTCOAST,"540,000",365.98,"1,476",Jul-19,UPPER EAST COAST ROAD,Resale,Strata,34,"15,882",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
FINLAND GARDENS,"2,180,000","1,722.24","1,266",Jul-19,EAST COAST TERRACE,Resale,Strata,160,"13,625",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
LEVILLE ISUITES,"880,000",613.55,"1,434",Jul-19,CEYLON ROAD,Resale,Strata,57,"15,439",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
91 MARSHALL,"630,000",376.74,"1,672",Jul-19,MARSHALL ROAD,Resale,Strata,35,"18,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CASTLE LOFT,"1,180,000","1,173.28","1,006",Jul-19,LORONG K TELOK KURAU,Resale,Strata,109,"10,826",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE GERANIUM,"1,100,000",990.29,"1,111",Jul-19,MANGIS ROAD,Resale,Strata,92,"11,957",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
FORTUNE JADE,"1,530,000","1,216.33","1,258",Jul-19,DUNMAN ROAD,Resale,Strata,113,"13,540",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
OVADA 8,"1,320,000","1,345.5",981,Jul-19,KOON SENG ROAD,Resale,Strata,125,"10,560",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
GLAMOUR VILLE,"1,430,000","1,173.28","1,219",Jul-19,LORONG N TELOK KURAU,Resale,Strata,109,"13,119",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SUITES@ KATONG,"610,000",430.56,"1,417",Jul-19,TANJONG KATONG ROAD,Resale,Strata,40,"15,250",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,275,000","1,248.62","1,021",Jul-19,JALAN SEMPADAN,Resale,Strata,116,"10,991",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
AALTO,"3,160,000","1,550.02","2,039",Jul-19,MEYER ROAD,Resale,Strata,144,"21,944",-,Condominium,1,Freehold,15,Rest of Central Region,26 to 30
RIVEREDGE,"2,200,000","1,603.84","1,372",Jul-19,SAMPAN PLACE,Resale,Strata,149,"14,765",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,06 to 10
PARC SEABREEZE,"2,434,020","1,356.26","1,795",Jul-19,JOO CHIAT ROAD,Resale,Strata,126,"19,318",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
RESIDENTIAL APARTMENTS,"1,300,000","1,237.86","1,050",Jul-19,TANJONG KATONG ROAD,Resale,Strata,115,"11,304",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER SKYE,"2,365,000","1,119.46","2,113",Jul-19,AMBER ROAD,Resale,Strata,104,"22,740",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
QUESTA @ DUNMAN,"670,000",430.56,"1,556",Jul-19,DUNMAN ROAD,Resale,Strata,40,"16,750",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
LA VIDA @ 130,"745,000",570.49,"1,306",Jul-19,LORONG K TELOK KURAU,Resale,Strata,53,"14,057",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MANDARIN GARDENS,"1,080,000","1,001.05","1,079",Jul-19,SIGLAP ROAD,Resale,Strata,93,"11,613",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
SANCTUARY GREEN,"2,170,000","1,711.48","1,268",Jul-19,TANJONG RHU ROAD,Resale,Strata,159,"13,648",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
EAST BAY GARDENS,"1,280,000","1,711.48",748,Jul-19,LORONG G TELOK KURAU,Resale,Strata,159,"8,050",-,Apartment,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE MEYERISE,"1,950,000",882.65,"2,209",Jul-19,MEYER ROAD,Resale,Strata,82,"23,780",-,Condominium,1,Freehold,15,Rest of Central Region,26 to 30
CHAPEL LODGE,"1,810,000","1,593.07","1,136",Jul-19,LORONG STANGEE,Resale,Strata,148,"12,230",-,Condominium,1,Freehold,15,Rest of Central Region,-
PEBBLE BAY,"4,200,000","2,626.42","1,599",Jun-19,TANJONG RHU ROAD,Resale,Strata,244,"17,213",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
PINE COURT,"1,380,000","1,463.9",943,Jun-19,LORONG L TELOK KURAU,Resale,Strata,136,"10,147",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
OLA RESIDENCES,"1,420,000","1,410.08","1,007",Jun-19,MOUNTBATTEN ROAD,Resale,Strata,131,"10,840",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
TIVOLI GRANDE,"1,350,000","1,528.49",883,Jun-19,KOON SENG ROAD,Resale,Strata,142,"9,507",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
16 @ AMBER,"1,018,000",667.37,"1,525",Jun-19,AMBER ROAD,Resale,Strata,62,"16,419",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
16 @ AMBER,"1,070,000",667.37,"1,603",Jun-19,AMBER ROAD,Resale,Strata,62,"17,258",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
PALM GALLERIA,"1,187,000",990.29,"1,199",Jun-19,LORONG K TELOK KURAU,Resale,Strata,92,"12,902",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
EASTWIND MANSIONS,"1,318,000","1,345.5",980,Jun-19,JOO CHIAT TERRACE,Resale,Strata,125,"10,544",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAGUNA PARK,"1,630,000","1,614.6","1,010",Jun-19,MARINE PARADE ROAD,Resale,Strata,150,"10,867",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
THE ATRIA AT MEYER,"2,550,000","1,614.6","1,579",Jun-19,MEYER ROAD,Resale,Strata,150,"17,000",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
EAST PALM,"1,480,000","1,194.8","1,239",Jun-19,PALM ROAD,Resale,Strata,111,"13,333",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
FLAMINGO VALLEY,"2,350,000","1,593.07","1,475",Jun-19,SIGLAP ROAD,Resale,Strata,148,"15,878",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
WORTHINGTON,"1,250,000",968.76,"1,290",Jun-19,BUTTERWORTH LANE,Resale,Strata,90,"13,889",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
VIBES @ EAST COAST,"585,000",355.21,"1,647",Jun-19,TELOK KURAU ROAD,Resale,Strata,33,"17,727",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
AALTO,"2,900,000","1,550.02","1,871",Jun-19,MEYER ROAD,Resale,Strata,144,"20,139",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,180,000","1,270.15",929,Jun-19,MARINE VISTA,Resale,Strata,118,"10,000",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,21 to 25
MARINE BLUE,"1,675,000","1,270.15","1,319",Jun-19,MARINE PARADE ROAD,Resale,Strata,118,"14,195",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SILAHIS APARTMENTS,"1,350,000","1,442.38",936,Jun-19,LORONG K TELOK KURAU,Resale,Strata,134,"10,075",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SANDALWOOD,"1,620,000","1,173.28","1,381",Jun-19,TEMBELING ROAD,Resale,Strata,109,"14,862",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
FRUITION,"638,000",613.55,"1,040",Jun-19,MANGIS ROAD,Resale,Strata,57,"11,193",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
FINLAND GARDENS,"1,720,000","1,323.97","1,299",Jun-19,EAST COAST AVENUE,Resale,Strata,123,"13,984",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
MANDARIN GARDENS,"1,871,000","2,034.4",920,Jun-19,SIGLAP ROAD,Resale,Strata,189,"9,899",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15
THE VIEW @ MEYER,"3,200,000","1,797.59","1,780",Jun-19,MEYER ROAD,Resale,Strata,167,"19,162",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
COSTA RHU,"1,700,000","1,345.5","1,263",Jun-19,RHU CROSS,Resale,Strata,125,"13,600",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
THE MAKENA,"1,980,000","1,291.68","1,533",Jun-19,MEYER ROAD,Resale,Strata,120,"16,500",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
RESIDENTIAL APARTMENTS,"1,150,000",979.52,"1,174",Jun-19,JOO CHIAT PLACE,Resale,Strata,91,"12,637",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
D'ECOSIA,"930,000",678.13,"1,371",Jun-19,STILL ROAD SOUTH,Resale,Strata,63,"14,762",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE AMERY,"2,721,000","2,314.26","1,176",Jun-19,LORONG K TELOK KURAU,Resale,Strata,215,"12,656",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE SEA VIEW,"3,800,000","2,723.29","1,395",Jun-19,AMBER ROAD,Resale,Strata,253,"15,020",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
VIBES @ EAST COAST,"998,000",807.3,"1,236",Jun-19,TELOK KURAU ROAD,Resale,Strata,75,"13,307",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,160,000","1,420.85",816,Jun-19,JOO CHIAT ROAD,Resale,Strata,132,"8,788",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE MAKENA,"1,750,000","1,151.75","1,519",Jun-19,MEYER ROAD,Resale,Strata,107,"16,355",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE MAKENA,"3,000,000","1,743.77","1,720",Jun-19,MEYER ROAD,Resale,Strata,162,"18,519",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
KATONG GARDENS,"2,400,000","1,948.28","1,232",Jun-19,TEMBELING ROAD,Resale,Strata,181,"13,260",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
